title,price,bed,bath,size,address
1350 Sq Ft Residential Flat For Sale In Mirpur,12000000,3,3,"1,350","Block C, Section 6, Mirpur, Dhaka"
Well Developed 1350 Sq Ft Residential Flat For Sale In Mirpur,12000000,3,3,"1,350","Block C, Section 6, Mirpur, Dhaka"
Well Designed 1500 Sq Ft Flat For Sale In Middle Badda,12000000,3,3,"1,500","Badda, Dhaka"
Well Designed 1350 Sq Ft Residential Apartment For Sale In Mirpur,12000000,3,3,"1,350","Block C, Section 6, Mirpur, Dhaka"
1600 SFT Favorable Apartment For Sale At Aftab Nagar,12000000,3,3,"1,600","Sector 1, Block F, Aftab Nagar, Dhaka"
Ready To Move in Aftab Nagar | 1320 SFT Apt. | Well Maintained,12000000,3,3,"1,320","Sector 1, Block F, Aftab Nagar, Dhaka"
1345 Sq Ft Three Bedroom Apt | Vacant Now | Ready To Move In Khilgaon,12000000,3,3,"1,345","Khilgaon, Dhaka"
Visit This Apartment For Sale In Banasree Near Abdur Razzaque School And College.,12000000,3,3,"1,330","Block D, Banasree, Dhaka"
Decent 1500 Sq Ft Residential Flat For Sale In Rupnagar R/a,12000000,3,3,"1,500","Rupnagar R/A, Mirpur, Dhaka"
"1600 Square Feet Standard Flat Is Available For Sale In Aftab Nagar, Block D",12000000,3,3,"1,600","Sector 2, Block D, Aftab Nagar, Dhaka"
"1400 Square Feet Flat Is Available For Sale In Aftab Nagar, Block D",12000000,3,3,"1,400","Sector 2, Block D, Aftab Nagar, Dhaka"
Banasree Is Offering A 1330 Sq Ft Flat For Sale To Pick It For Your Next Home.,12000000,3,3,"1,330","Block D, Banasree, Dhaka"
"A 1330 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block D, Banasree",12000000,3,3,"1,330","Block D, Banasree, Dhaka"
"Check This Fine Looking Flat Of 1330 Sq Ft Offered For Sale In Block D, Banasree",12000000,3,3,"1,330","Block D, Banasree, Dhaka"
"Buy This Nice 1510 Sq Ft Apartment In Mirpur, 2nd Colony",12000000,3,4,"1,510","2nd Colony, Mirpur, Dhaka"
Here Is A Well Defined Flat Of 1450 Sq Ft Waiting For Sale At Mirpur-2,12000000,3,3,"1,450","Block C, Section 2, Mirpur, Dhaka"
1614 Sq Ft Fabulous Flat For Sale In Banasree,12000000,3,4,"1,614","Block C, Banasree, Dhaka"
"1614 Sq Ft Flat For Sale In Banasree, Block C",12000000,3,4,"1,614","Block C, Banasree, Dhaka"
Deal With This 1800 Sq Ft Residential Flat For Sale In Mirpur-2,12000000,3,3,"1,800","Block B, Section 2, Mirpur, Dhaka"
Secure Your Dream Flat Of 1514 Sq Ft For Sale In Uttara-3!,12000000,3,3,"1,514","Sector 3, Uttara, Dhaka"
"For You 1580 Sq Ft Flat Is Now For Sale In Block D, Aftab Nagar",12000000,3,3,"1,580","Sector 1, Block D, Aftab Nagar, Dhaka"
"A 1580 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block D, Aftab Nagar",12000000,3,3,"1,580","Sector 1, Block D, Aftab Nagar, Dhaka"
"1580 Sq Ft Apartment Is Being Constructed For Sale In Aftab Nagar, Block D",12000000,3,3,"1,580","Sector 1, Block D, Aftab Nagar, Dhaka"
"Well Organized Flat Of 1150 Sq Ft Is Now Vacant For Sale In Katashur, Mohammadpur",12000000,3,3,"1,150","Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka"
1500 Sq Ft Flat Is Up For Sale In Shiddheswari,12000000,3,3,"1,500","Shiddheswari, Dhaka"
"1385 Sq Ft Flat Is Up For Sale In Banasree, Block H",12000000,3,3,"1,385","Block H, Banasree, Dhaka"
"1600 Square Feet Flat Is Available For Sale Bashundhara R-a, Block C",12000000,3,3,"1,600","Block C, Bashundhara R-A, Dhaka"
Settle In This 1600 Square Feet Residential Flat For Sale In South Badda Road,12000000,3,5,"1,600","South Badda, Badda, Dhaka"
Find Your Desired Home At This 1430 Sq Ft Well Featured Flat For Sale At Bashundhara R-A,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
We Bring You A Beautiful And Distinct Flat Of 1430 Sq Ft For Sale In Bashundhara R-A,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
A Very Well-fitted Apartment Is Here Sited At Bashundhara R-A Featuring 1430 Sq Ft Space For Sale,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
A Rightly Planned Apartment Is Now Vacant For Sale In Bashundhara R-A Which Is 1430 Sq Ft,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
Tastefully Designed This 3 Bedroom Apartment Is Now Vacant For Sale In Uttara -4.,12000000,3,3,"1,450","Sector 4, Uttara, Dhaka"
At Uttara-4 A 1450 Square Feet Residential Apartment For Sale,12000000,3,3,"1,450","Sector 4, Uttara, Dhaka"
"Reside In This 1588 Sq Ft Well Fitted Flat For Sale Which Is Located At Block K, Bashundhara R/A",12000000,3,3,"1,588","Block K, Bashundhara R-A, Dhaka"
1400 Sq Ft Nice Apartment Is Now Ready To Sale In Mirpur 6,12000000,3,3,"1,400","Block C, Section 6, Mirpur, Dhaka"
In The Location Of Nayatola An Adequate House Is For Sale Near By Chollish Ghor Jame Masjid,12000000,3,4,"1,450","Nayatola, Maghbazar, Dhaka"
Buy This 1550 Square Feet Flat In Bashundhara R-a,12000000,3,3,"1,550","Block F, Bashundhara R-A, Dhaka"
"To Live A Secure Life You Can Take This 1450 Sq Ft Flat For Sale At Block I, Bashundhara R/A",12000000,3,3,"1,450","Block I, Bashundhara R-A, Dhaka"
We Bring You A Beautiful And Distinct Flat Of 1620 Sq Ft For Sale In Aftab Nagar,12000000,3,3,"1,620","Sector 2, Block D, Aftab Nagar, Dhaka"
A 1650 Sq Ft Flat For Sale In Moghbazar Close To Shulpur Government Primary School .,12000000,3,3,"1,650","Maghbazar, Dhaka"
1250 Sq Ft Flat Is Now For Sale In Bashundhara R-a,12000000,3,3,"1,250","Block D, Bashundhara R-A, Dhaka"
This Lovely Apartment Of 1374 Sq Ft Is For Sale To Live A Relaxed Life At Bashundhara R-a,12000000,3,3,"1,374","Block J, Bashundhara R-A, Dhaka"
"1637 Sq Ft Spacious Apartment Is Ready For Sale In Senpara Parbata, Mirpur",12000000,3,4,"1,637","Senpara Parbata, Section 10, Mirpur, Dhaka"
"1473 Square Feet Flat With 3 Bedrooms Is Available For Sale In Bashundhara R-a, Block B",12000000,3,3,"1,473","Block B, Bashundhara R-A, Dhaka"
Worthy 1450 Sq Ft Residence Is For Sale At Bashundhara R-a,12000000,3,3,"1,450","Bashundhara R-A, Dhaka"
Ready 1500 Sq Ft Flat Is Now For Sale In Bashundhara R-a,12000000,3,3,"1,500","Block I, Bashundhara R-A, Dhaka"
"Picture Yourself, Residing In This Well-constructed And Planned 1450 Sq Ft Apartment In Bashundhara R-a Which Is Now For Sale",12000000,3,3,"1,450","Block E, Bashundhara R-A, Dhaka"
1410 Sq Ft Residence Is Now Available For Sale At Mohammadia Housing Society,12000000,3,3,"1,410","Mohammadia Housing Society, Mohammadpur, Dhaka"
"1275 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block C",12000000,3,4,"1,275","Block C, Bashundhara R-A, Dhaka"
A Very Well-fitted Home Is Here Sited At Uttara Near Uttara 15 Number Sector Central Jame Mosjid Featuring 1600 Sq Ft Space For Sale.,12000000,3,3,"1,600","Sector 15, Uttara, Dhaka"
1375 Sq. Ft. flat is now up for sale located in Mirpur DOHS,12000000,3,3,"1,375","Avenue 1, Mirpur DOHS, Mirpur, Dhaka"
"A 1550 Square Feet And 3 Bedroom Residential Apartment For Sale At Bashundhara R-A , Block L",12000000,3,3,"1,550","Block L, Bashundhara R-A, Dhaka"
"Available At Bashundhara R-A, Block L A 1550 Square Feet And 3 Bedroom Residential Apartment For Sale.",12000000,3,3,"1,550","Block L, Bashundhara R-A, Dhaka"
"A Nicely Build 1540 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Bashundhara R-a, Block K.",12000000,3,3,"1,540","Block K, Bashundhara R-A, Dhaka"
A Nicely Build 1372 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttara 6.,12000000,3,3,"1,372","Sector 6, Uttara, Dhaka"
Days Would Be Better Now In Your High-rise 2260 Sq. Ft Apartment At Pallabi Extension With Golden Dawns And Lilac Dusks.,12000000,3,3,"2,260","Pallabi Extension, Pallabi, Mirpur, Dhaka"
"1553 Sq Ft Apartment For Sale In Mirpur-15, Bijoy Rakeen City",12000000,3,4,"1,553","Block D, Section 15, Mirpur, Dhaka"
"In The Suitable Location Of Hatirpool, An Eye-catching Flat Of 1700 Sq Ft Is Up For Sale",12000000,3,3,"1,700","Hatirpool, Dhaka"
"Buy A Nice Flat Of 1550 Square Feet In Bashundhara R-a, Block I",12000000,3,3,"1,550","Block I, Bashundhara R-A, Dhaka"
"A Vibrant 1,500 SQ FT Ready Apartment for Sale in Dhanmondi",12000000,3,4,"1,500","Dhanmondi, Dhaka"
Don’t Waste Your Valuable Time! You Can Take This 1556 Sq Ft Flat Which Is Now For Sale In Bashundhara R-a,12000000,3,3,"1,556","Block H, Bashundhara R-A, Dhaka"
A well-constructed 1500 SQ FT flat is for sale in Bashundhara R-A,12000000,3,3,"1,500","Block L, Bashundhara R-A, Dhaka"
1530 SQ FT flat is now for sale which is in Bashundhara R-A,12000000,3,3,"1,530","Bashundhara R-A, Dhaka"
"1530 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block L",12000000,3,3,"1,530","Bashundhara R-A, Dhaka"
"A Proper Flat Of 1500 Square Feet Is Up For Sale In Bashundhara R-a, Block L",12000000,3,3,"1,500","Block L, Bashundhara R-A, Dhaka"
"Buy This 1600 Sq Ft Ready Flat In Aftab Nagar, Block F",12000000,3,3,"1,600","Sector 1, Block F, Aftab Nagar, Dhaka"
Grab A 1385 Sq Ft Nice Apartment For Sale At Bashundhara R-a,12000000,3,3,"1,385","Block C, Bashundhara R-A, Dhaka"
"3 Bedroom, 3 Bathroom Apartment With A View Is Up For Sale At Nurer Chala.",12000000,3,3,"1,600","Nurer Chala, Badda, Dhaka"
Ready For Move In! Check This 1375 Sq. ft Home Which Is Up For Sale In Tilpapara .,12000000,3,3,"1,375","Tilpapara, Khilgaon, Dhaka"
"1310 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block J",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"If You Are Looking To Buy A Nice Flat In Bashundhara, Then Check Out This 1310 Sq Ft Residential Property",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
1310 Square Feet Flat With Update Dwelling Fittings Is Available For Sale In Bashundhara,12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"Go Through This 1310 Square Feet Flat, Available For Sale In Bashundhara R-a, Block J",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"1310 Square Ft Residential Apartment At Bashundhara R-A, Block J Is For Sale",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"At Bashundhara R-A , Block J A 1310 Square Ft. Residential Apartment For Sale",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"1310 Square Ft Residential Apartment For Sale At Bashundhara R-A , Block J",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"1550 Square Feet Elegant Flat Is Available For Sale In Bashundhara R-a, Block H",12000000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"This 1550 Square Feet Flat, Is Available For Sale In Bashundhara R-a",12000000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"A Lovely Flat Of 1550 Sq Ft Is Up For Sale In Bashundhara R-a, Block H",12000000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"An Apartment Of 1650 Sq. Ft Is For Sale In Aftab Nagar , Block C .",12000000,3,3,"1,650","Block C, Aftab Nagar, Dhaka"
"1500 Sq Ft Amazing Flat For Sale In West Rampura, Mohanagar Housing",12000000,3,3,"1,500","Block C, Mohanagar Housing, West Rampura, Rampura, Dhaka"
"1550 Square Feet Flat With A Serene Environment Is Available For Sale In Bashundhara R-A, Block F",12000000,3,3,"1,550","Block F, Bashundhara R-A, Dhaka"
An Apartment For Sale Is All Set For You To Settle In Bashundhara R-A -Block L,12000000,3,3,"1,550","Block L, Bashundhara R-A, Dhaka"
"1553 Sq Ft Apartment For Sale In Mirpur, Section 15, Block D, Bijoy Rakeen City",12000000,3,3,"1,553","Block D, Section 15, Mirpur, Dhaka"
"A Finely Built 1550 Sq Ft Flat Is Up For Sale In Block H, Bashundhara R-a",12000000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"1550 Sq Ft Residential Apartment Is Up For Sale In Block H, Bashundhara R-a",12000000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"A 1550 Sq Ft Flat Is Up For Sale In Block G, Bashundhara R-a",12000000,3,3,"1,550","Block G, Bashundhara R-A, Dhaka"
"See This 1550 Sq Ft Apartment For Sale Is All Set For You In Block G, Bashundhara R-a",12000000,3,3,"1,550","Block G, Bashundhara R-A, Dhaka"
"Built With Modern Amenities, Check This 1550 Sq Ft Flat Which Is Up For Sale At Block G, Bashundhara R-a",12000000,3,3,"1,550","Block G, Bashundhara R-A, Dhaka"
"A 1550 Sq Ft Flat Available For Sale At Block F, Bashundhara R-A .",12000000,3,3,"1,550","Block F, Bashundhara R-A, Dhaka"
We Have A Ready Flat For sale In Bashundhara R-A Nearby Viquarunnisa Noon School And College,12000000,3,3,"1,400","Block F, Bashundhara R-A, Dhaka"
"1550 Square Feet Residential Apartment Is Up For Sale At Section 2, Mirpur",12000000,3,3,"1,550","Block C, Section 2, Mirpur, Dhaka"
1620 Square Feet Residential Apartment For Sale At Nikunja 2.,12000000,3,3,"1,620","Nikunja 2, Nikunja, Dhaka"
"Live In This 1530 Sq Ft Flat For Sale, Ready To Provide A Gleeful Home Experience For You In Mirpur-10",12000000,3,3,"1,530","Senpara Parbata, Section 10, Mirpur, Dhaka"
"This Very New Nice Flat Of 1750 Sq Ft Is Up For Sale In Block G, Bashundhara R-a",12000000,3,3,"1,750","Block G, Bashundhara R-A, Dhaka"
"Grab This 1550 Sq Ft Ready Flat For Sale In The Ice Locality Of Bashundhara R-a, Block I",12000000,3,3,"1,550","Block I, Bashundhara R-A, Dhaka"
"1550 Sq Ft Ready Flat For Sale In Bashundhara R-a, Block I",12000000,3,3,"1,550","Block I, Bashundhara R-A, Dhaka"
"Make This 1600 Sq Ft - 3 Bedroom Flat Your Next Residing Location, Which Is Up For Sale In Bashundhara R-A",12000000,3,3,"1,600","Block F, Bashundhara R-A, Dhaka"
1550 Square Feet - 3 Bedroom Residential Apartment For Sale Close To Basundhara Residential Area Puja Mondop,12000000,3,3,"1,550","Block I, Bashundhara R-A, Dhaka"
See This Apartment Which Is Up For Sale In Uttara Near Shanto-mariam University.,12000000,3,3,"1,550","Sector 11, Uttara, Dhaka"
"You Would Be Remarking The Amazing Experience You Are Going To Get In This 1310 Sq Ft Flat, Located In Bashundhara R-a",12000000,3,3,"1,310","Block J, Bashundhara R-A, Dhaka"
"A Nicely Constructed Apartment Of 1750 Sq Ft Is Available Right Now For Sale In Bagan Bari Road, Cantonment",12000000,3,3,"1,750","Cantonment, Dhaka"
"1310 Sq Ft Flat With Beautiful Views For Sale In Bashundhara R-a, Block J",12000000,3,4,"1,310","Block J, Bashundhara R-A, Dhaka"
"A Beautiful Flat Is Ready To Sale At Bashundhara R-a, Block J.",12000000,3,4,"1,310","Block J, Bashundhara R-A, Dhaka"
1430 Sq Ft Flat With 3 Amazing Bedrooms For Sale In Bashundhara R-a,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
Grow Your Home In This 1430 Sq Ft Apartment Mingled With Your Interest In This Bustling City,12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
Choose This 1410 Sq Ft Lovely Flat For Sale In Bashundhara R-A,12000000,3,3,"1,410","Block J, Bashundhara R-A, Dhaka"
"Buy This 1430 Sq Ft Flat In Bashundhara R-a, Block J",12000000,3,3,"1,430","Block J, Bashundhara R-A, Dhaka"
1650 Sq Ft Flat For Sale In Aftab Nagar,12000000,3,3,"1,650","Sector 1, Block E, Aftab Nagar, Dhaka"
1653 Sq Ft Apartment Is Up For Sale In Mirpur,12000000,3,3,"1,653","Block C, Section 6, Mirpur, Dhaka"
Spacious Flat Of 1550 Square Feet Available For Sale At Bashundhara R/A,12000000,3,3,"1,550","Block F, Bashundhara R-A, Dhaka"
"1600sq Ft Residential Apartment For Sale At Sector 7, Uttara",12000000,3,4,"1,600","Sector 7, Uttara, Dhaka"
Ready flat 1700 SQ FT is now for sale in Bashundhara R-A,12000000,3,3,"1,700","Block D, Bashundhara R-A, Dhaka"
Obtain This Well Fitted Flat Of 1860 Sq Ft Which Is Up For Sale In Bashundhara R-a,12000000,3,3,"1,860","Block J, Bashundhara R-A, Dhaka"
A Nice Residential Flat For Sale Can Be Found In Uttara Nearby Uttara High School And College,12000000,3,3,"1,575","Sector 7, Uttara, Dhaka"
"Apartment For Sale In Bashundhara, Near Bashundhara Eye Hospital",12000000,3,3,"1,550","Block F, Bashundhara R-A, Dhaka"
"Experience The Ultimate Luxury Lifestyle Here In This Bashundhara R-A, Block A Home Which Is Up For Sale.",12000000,3,3,"1,475","Block A, Bashundhara R-A, Dhaka"
"This Apartment Is Up For Sale At Uttara, Sector 12",12000000,3,4,"1,750","Sector 12, Uttara, Dhaka"
1620 Square Feet Ready Flat For sale in Uttara Very Close To Oxford International School,12000000,3,4,"1,620","Sector 14, Uttara, Dhaka"
We Have A 1638 Sq. ft Flat For Sale In Bashundhara R-a Nearby Apollo Hospital.,12000000,3,4,"1,638","Block A, Bashundhara R-A, Dhaka"
1450 Sq Ft Flat Is Waiting For Its New Occupant In Bashundhara R-a,12000000,3,3,"1,450","Block C, Bashundhara R-A, Dhaka"
1500 Sq. Ft Apartment For Sale In Senpara Parbata Nearby Mercantile Bank Limited.,12000000,3,4,"1,500","Senpara Parbata, Section 10, Mirpur, Dhaka"
"Close To Hotel Agrabad Dhaka Office At Uttara, The Unique Apartment Is Up For Sale",12000000,3,4,"1,750","Sector 5, Uttara, Dhaka"
Get Comfortable In A Nice Flat For Sale In Pallabi Nearby Juvenile English Medium School,12000000,3,3,"1,856","Pallabi, Mirpur, Dhaka"
3 Bedroom And 4 Bathroom Apartment For Sale In Bashundhara R-A Near Basundhara Residential Area Puja Mondop,12000000,3,4,"1,500","Block I, Bashundhara R-A, Dhaka"
"Move In This 1600 Sq Ft Properly Constructed Flat For Sale In Banasree Block G, Near Banasree Ideal School And College",12000000,3,3,"1,600","Block G, Banasree, Dhaka"
Amazing Flat For Sale Near To Mercantile Bank Limited In Uttara,12000000,3,3,"1,450","Sector 13, Uttara, Dhaka"
A Well Constructed 1700 Sq Ft Flat Is Ready For Sale In Uttara Close To Uttara Adhunik Medical College,12000000,3,3,"1,700","Sector 12, Uttara, Dhaka"
"Lovely Apartment Of 1460 Sq Ft Is Up For Sale In Block I, Bashundhara R/A",12000000,3,3,"1,460","Block I, Bashundhara R-A, Dhaka"
"Apartment for sale includes 1578 SQ Ft at Mirpur, near Shah Ali Police Station",12000000,3,4,"1,578","Block C, Section 2, Mirpur, Dhaka"
Check this 1584 SQ FT apartment up for sale at Mirpur very near to Aklima General Hospital LTD,12000000,3,4,"1,584","Block C, Section 2, Mirpur, Dhaka"
1300 Square Feet Apartment Is Ready For Sale In Uttara,12000000,3,3,"1,300","Sector 11, Uttara, Dhaka"
Flat For Sale In Mirpur Section 2 Near Sareng Bari Jame Masjid,12000000,3,3,"1,470","Block C, Section 2, Mirpur, Dhaka"
"1600 Square Feet Residential Apartment For Sale In Bashundhara, Near Bank Asia Ltd",12000000,3,3,"1,600","Block A, Bashundhara R-A, Dhaka"
"1360 Sq Ft Apartment For Sale In Uttara Sector 4, Near The Aga Khan School",12000000,3,4,"1,360","Sector 4, Uttara, Dhaka"
1670 SQ FT Apartment for sale in Uttara nearby RMC Hospital,12000000,3,4,"1,670","Sector 6, Uttara, Dhaka"
A 1650 Sq Ft Residential Flat Is Ready For Sale In Bashundhara R/a Nearby Viqarunnessa Noon School,12000000,3,3,"1,650","Block F, Bashundhara R-A, Dhaka"
"Get Comfortable In A 1700 Sq Ft Flat For Sale In Cantonment, Near Dhaka Cant Girls' Public School & College",12000000,3,4,"1,700","Cantonment, Dhaka"
1717 Sq Ft Flat Is Available For Sale In Bashundhara R-a,12000000,3,3,"1,717","Block C, Bashundhara R-A, Dhaka"
"Start residing in this 1600 SQ FT, properly developed apartment for sale, in Dhanmondi Road No 8A, near Bangladesh Medical College",12000000,3,3,"1,600","Dhanmondi, Dhaka"
A 1466 Sq Ft Very Reasonable Flat Is Available For Sale At Uttara Nearby Zam Zam Tower,12000000,3,2,"1,466","Sector 13, Uttara, Dhaka"
"We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 1840 Sq Ft Space In Chandrima Model Town, Mohammadpur",12000000,4,4,"1,840","Block A, Chandrima Model Town, Mohammadpur, Dhaka"
Modern Home For Residents | 1580 Sq Ft -4 Bedroom Flat In Rupnagar R/a Is Up For Sale.,12000000,4,3,"1,580","Rupnagar R/A, Mirpur, Dhaka"
"Get This 2400 Sq Ft Flat For Sale In Mohammadpur, Sat Masjid Housing",12000000,4,5,"2,400","Block C, Sat Masjid Housing, Mohammadpur, Dhaka"
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,12000000,4,3,"1,600","Middle Badda, Badda, Dhaka"
"An Affordable 1550 Sq. Ft Apartment Is Up For Sale In Bashundhara R-A, Block L.",12000000,4,3,"1,550","Block L, Bashundhara R-A, Dhaka"
We Have A 1550 Sq. Ft Flat For You In Bashundhara R-A Nearby Playpen School.,12000000,4,3,"1,550","Block L, Bashundhara R-A, Dhaka"
This 1550 Sq. Ft Residential Apartment For Sale At Bashundhara R-A Close To Playpen School.,12000000,4,3,"1,550","Block L, Bashundhara R-A, Dhaka"
"Take A Look At This 1550 Square Feet Residential Apartment For Sale At Bashundhara R-A, Block L .",12000000,4,3,"1,550","Block L, Bashundhara R-A, Dhaka"
A well-constructed 2300 SQ FT flat is for sale in Hazaribag,12000000,4,4,"2,300","Hazaribag, Dhaka"
"2000 Sq Ft Flat Of Nice Quality Is Up For Sale In Banasree, Block C",12000000,4,4,"2,000","Block C, Banasree, Dhaka"
Tastefully Designed This 1750 Sq. Ft Apartment Is Now Vacant For Sale In Nikunja 2.,12000000,4,4,"1,750","Nikunja 2, Nikunja, Dhaka"
"A 2000 Sq Ft Residential Apartment For Sale At Paikpara, Ahmed Nagar",12000000,4,4,"2,000","Paikpara, Ahmed Nagar, Mirpur, Dhaka"
A 2336 Sq Ft Spacious Flat Is Ready For Sale In Mirpur Section 10.,12000000,5,6,"2,336","Section 10, Mirpur, Dhaka"
"Residential Flat In Moushair For Sale, Near Southeast Bank Limited",12000000,5,5,"2,400","Moushair, Dakshin Khan, Dhaka"
"Beautiful Flat Of 1700 Sq Ft Is Is Ready For Sale Purpose In Block E, Aftab Nagar",11900000,3,3,"1,700","Sector 1, Block E, Aftab Nagar, Dhaka"
1180 Sq Ft Flat Is Up For Sale In Malibagh,11800000,2,3,"1,180","Malibagh, Dhaka"
1235 Sq Ft Residential Apartment Is On Sale In Rayer Bazaar,11800000,3,3,"1,235","Rayer Bazaar, Hazaribag, Dhaka"
1400 Square Feet Residential Apartment Is Up For Sale In Bashundhara R/a,11800000,3,3,"1,400","Block D, Bashundhara R-A, Dhaka"
This 1350 Square Ft. And 3 Bedroom Residential Apartment At Banasree- Block C Is For Sale .,11800000,3,3,"1,350","Block C, Banasree, Dhaka"
1550 Square Feet Large Residential Apartment For Sale At Bashundhara R-A- Block H.,11800000,3,3,"1,550","Block H, Bashundhara R-A, Dhaka"
"Pursue This 1605 Square Feet Residential Flat For Sale In Dakshin Khan, Kosai Bari",11800000,3,3,"1,605","Dakshin Khan, Dhaka"
"This Vacant Apartment Of 1475 Sq Ft Situated In Hatirpool, Is Up For Sale",11800000,3,3,"1,475","Hatirpool, Dhaka"
"1590 square feet Residential Apartment For Sale in Apollo Hospital Road, Bashundhara, Block A",11800000,3,3,"1,590","Block A, Bashundhara R-A, Dhaka"
At Banasree Near To Sanfort School Bangladesh A 1350 Sq. Ft Residential Apartment For Sale,11800000,3,3,"1,350","Block C, Banasree, Dhaka"
1600 Sq Ft Flat Is Up For Sale In Aftab Nagar,11800000,3,3,"1,600","Block C, Aftab Nagar, Dhaka"
Brand New Apartment Covering An Area Of 1375 Sq Ft Is Waiting For Sale At Shahjadpur,11800000,3,3,"1,375","Badda, Dhaka"
"Near Matir Masjid, South Chalabon, 2400 Sq Ft Apartment Is Up For Sale",11800000,5,4,"2,400","South Chalabon, Dakshin Khan, Dhaka"
A well-constructed 1395 SQ FT flat is for sale in Banasree,11700000,3,3,"1,395","Block B, Banasree, Dhaka"
"1650 Sq Ft Suitable Flat For Sale In East Rampura, Jamtola",11700000,3,3,"1,650","Jamtola, East Rampura, Rampura, Dhaka"
"1365 sq ft Convenient apartment for sale in Block B, Aftab Nagar",11700000,3,3,"1,365","Block B, Aftab Nagar, Dhaka"
1300 Sq Ft Apartment For Sale In Khilgaon,11700000,3,3,"1,300","Khilgaon, Dhaka"
Khilgaon Is Offering You A 1300 Sq Ft Apartment For Sale,11700000,3,3,"1,300","Khilgaon, Dhaka"
Grab This 1300 Sq Ft Apartment For Sale In Khilgaon,11700000,3,3,"1,300","Khilgaon, Dhaka"
Grab This Great 1250 Sq Ft Apartment For Sale In Boro Maghbazar,11700000,3,3,"1,250","Modhubag, Boro Maghbazar, Maghbazar, Dhaka"
"Buy This 1250 Sq Ft Apartment In Boro Maghbazar, Modhubag",11700000,3,3,"1,250","Modhubag, Boro Maghbazar, Maghbazar, Dhaka"
"1250 Sq Ft Apartment With 3 Bedrooms For Sale In Boro Maghbazar, Modhubag",11700000,3,3,"1,250","Modhubag, Boro Maghbazar, Maghbazar, Dhaka"
"Look At This 1420 Sq. Ft. And 3 Bedroom Flat Is For Sale At Banasree , Block C",11700000,3,3,"1,420","Block C, Banasree, Dhaka"
"In Bashundhara R-a, Block G, A 1570 Sq Ft Flat Is Up For Sale",11700000,3,3,"1,570","Block G, Bashundhara R-A, Dhaka"
"With An Awesome Environment A 1525 Sq Ft Flat Is Vacant For Sale In Mazar Road, Mirpur 2nd Colony",11700000,3,4,"1,525","2nd Colony, Mirpur, Dhaka"
For Selling Purpose This 1800 Sq. Ft Flat Is Now Vacant In Agargaon Near To Shahid Shahabuddin Memorial School.,11700000,4,4,"1,800","Agargaon, Dhaka"
1517 Sq Ft Spacious Flat For Sale In Uttara-10,11600000,3,3,"1,517","Sector 10, Uttara, Dhaka"
1360 Sq Ft Flat Is For Sale In Shantinagar,11600000,3,3,"1,360","Shantinagar, Dhaka"
"We Are Happy To Present This Modern 1450 Sq Ft Apartment For Sale At Aftab Nagar, Block F",11600000,3,3,"1,450","Sector 1, Block F, Aftab Nagar, Dhaka"
"Well Organized Flat Of 1450 Sq Ft Is Now Ready For Sale At Aftab Nagar, Block F",11600000,3,3,"1,450","Sector 1, Block F, Aftab Nagar, Dhaka"
"Here Is A Well Defined Flat Of 1450 Sq Ft Waiting For Sale At Aftab Nagar, Block F",11600000,3,3,"1,450","Sector 1, Block F, Aftab Nagar, Dhaka"
Settle Down In This 1055 Sq Ft Residential Apartment Available For Sale In Bashundhara R/a,11600000,3,3,"1,055","Block A, Bashundhara R-A, Dhaka"
"Offering You A 1556 Sq Ft Nice Flat For Sale In Block F, Aftab Nagar",11600000,3,3,"1,556","Sector 1, Block F, Aftab Nagar, Dhaka"
