title,price,bed,bath,size,address
Vast 2929 Square Feet Apartment For Sale In Dream Location Gulshan 1,57000000,4,4,"2,929","Gulshan 1, Gulshan, Dhaka"
4350 Sq Ft Modern And Spacious Flat For Sale In Uttara-12,57000000,5,5,"4,350","Sector 12, Uttara, Dhaka"
2700 Square Feet Apartment For Sale In Gulshan 1,55000000,3,3,"2,700","Gulshan 1, Gulshan, Dhaka"
2600 Square Feet Apartment For Sale In The Fabulous Area Of Baridhara,55000000,3,3,"2,600","Block K, Baridhara, Dhaka"
Excellent Flat Of 3400 Sq Ft Is All Set For Sale In The Fine Location Of Gulshan 1,55000000,4,4,"3,400","Gulshan 1, Gulshan, Dhaka"
Deal With This 3210 Square Feet Flat Ready For Sale In Banani Dohs,55000000,4,4,"3,210","Banani DOHS, Dhaka"
3109 Sq Ft Flat With Spacious Bedrooms Is Ready For Sale In Gulshan 2,54500000,4,4,"3,109","Gulshan 2, Gulshan, Dhaka"
"2975 Sq Ft Apartment Is Available For Sale In Cantonment, Road 4 Near Mamaz Dokan Supermarket",53600000,4,5,"2,975","Cantonment, Dhaka"
Buy This Serene 2665 Sq Ft Flat In Dhanmondi,53300000,3,4,"2,665","Dhanmondi, Dhaka"
Properly-constructed 3060 Sq Ft Flat Is Now Offering To You In Gulshan For Sale,53000000,3,3,"3,060","Gulshan 2, Gulshan, Dhaka"
"4360 Square Feet Nice And Spacious Apartment For Sale In Mohammadpur, Shahjahan Road",53000000,6,6,"4,360","Mohammadpur, Dhaka"
This Wonderful 3450 Sq. Ft Flat Up For Sale In Baridhara -Sohrawardy Avenue .,52000000,3,3,"3,450","Block K, Baridhara, Dhaka"
A 3450 Square Feet Residential Apartment For Sale At Sohrawardy Avenue-Baridhara .,52000000,3,3,"3,450","Block K, Baridhara, Dhaka"
2556 Sq Ft Spacious And Elegant Flat Is Up For Sale In Dhanmondi,51100000,4,4,"2,556","Dhanmondi, Dhaka"
To Live A Secure Life You Can Take This 3200 Sq Ft Flat For Sale At Gulshan 1,51000000,3,3,"3,200","Gulshan 1, Gulshan, Dhaka"
"3310 SQ FT Residential Apartment For Sale in Dhanmondi, Road No 7",51000000,3,3,"3,310","Dhanmondi, Dhaka"
"Make This 3000 Sq Ft Apartment Your Next Residing Location, Which Is Up To Sale In Gulshan 1",51000000,4,4,"3,000","Gulshan 1, Gulshan, Dhaka"
"This High End Residential Apartment Is Available For Sale In Gulshan 2, Near The Westin Dhaka",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Flat Is Now For Sale Which Is In Gulshan Near To Dutch-bangla Bank,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"This Residential Apartment Is Now Available In Gulshan 2, Near Pink City Shopping Mall",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"This Residential Apartment Is Available For Sale In Gulshan 2, Near Unimart",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
To Live A Secure Life You Can Take This 2470 Sq Ft Flat For Sale At Gulshan 2,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"Start A New Home, In This 2470 Sq Ft Apartment For Sale In Gulshan 2, Near Standard Chartered Bank",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Completely Suitable And Ready Flat Of 2470 Sq Ft For Sale In Gulshan 2 Near Six Seasons Hotel,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"Choose Your Destination, Flat Which Is Available For Sale In Gulshan Near To Manarat International University",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Flat Which Is Near To Shahabuddin Medical College Is Now For Sale In Gulshan 2,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Offering You A Very Spacious 2470 Sq Ft Flat For Sale In Gulshan 2 Near To The Westin,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"Choose Your Destination, Flat Which Is Available For Sale In Gulshan Near To Manarat International University",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Completely Suitable And Ready Flat Of 2470 Sq Ft For Sale In Gulshan 2 Near Six Seasons Hotel,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Flat Which Is Near To Shahabuddin Medical College Is Now For Sale In Gulshan 2,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
Offering You A Very Spacious 2470 Sq Ft Flat For Sale In Gulshan 2 Near To The Westin,51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
"Start A New Home, In This 2470 Sq Ft Apartment For Sale In Gulshan 2, Near Standard Chartered Bank",51000000,4,4,"2,470","Gulshan 2, Gulshan, Dhaka"
3200 Sq Ft Flat Is Now Vacant For Sale In Gulshan Close To NIDCH,50500000,3,4,"3,200","Gulshan 1, Gulshan, Dhaka"
"Buy This Nice Flat Of 4200 Sq Ft, Which Is Located At Bashundhara R-a",50400000,4,4,"4,200","Block I, Bashundhara R-A, Dhaka"
Fairly Spacious Apartment Of 4200 Sq Ft Is Ready For Sale In Bashundhara,50400000,4,4,"4,200","Block I, Bashundhara R-A, Dhaka"
